Add_no,Name,Section,Gender,D.O.B,Fathers_name,Mothers_name,Blood_group,aadhar_number,email_id,phone_no,physically_chalanged,Lang_known,Total_marks,no-of_parents_graduated
29,Gord,E,M,1.11.2028,Shankar,Cana,A-,6051 4561 3020,Gordon@gmail.com,9842994634,yes,2,472,1
30,kenn,D,M,1.11.2029,Raman,Dana,B-,6052 4561 3020,kenneth@gmail.com,9842994635,No,1,471,1
31,Doug,A,M,1.11.2030,Samm,Eana,AB-,6053 4561 3020,Douglas@gmail.com,9842994636,yes,3,470,2
32,Sann,C,W,1.11.2031,Brito,Fana,O-,6054 4561 3020,Sandra@gmail.com,9842994637,No,2,469,2
33,Chis,B,W,1.11.2032,Kalaian,Gana,A+,6055 4561 3020,Christine@gmail.com,9842994638,yes,1,468,2
34,Josh,D,M,1.11.2033,kathir,Hana,B+,6056 4561 3020,Joseph@gmail.com,9842994639,No,1,467,1
35,Edar,E,M,1.11.2034,Sam,Iana,AB+,6057 4561 3020,Edward@gmail.com,9842994640,yes,3,466,1
36,Hane,A,W,1.11.2035,Joe,Jana,O+,6058 4561 3020,Hane@gmail.com,9842994641,No,2,465,2
37,June,E,W,1.11.2036,Ram,Kana,A-,6059 4561 3020,June@gmail.com,9842994642,yes,1,464,2
38,Mair,C,W,1.11.2037,Kalai,Lana,B-,6060 4561 3020,Maira@gmail.com,9842994643,No,3,463,2
39,Coln,B,W,1.11.2038,Ravi,Mana,AB-,6061 4561 3020,Colin@gmail.com,9842994644,yes,2,462,1
40,Rach,A,M,1.11.2039,Joel,Nana,O-,6062 4561 3020,Richard@gmail.com,9842994645,No,1,461,1
41,Fran,E,M,1.11.2040,Joe,Oana,A+,6063 4561 3020,Francis@gmail.com,9842994646,yes,3,460,2
42,Isab,B,W,1.11.2041,Saba,Pana,B+,6064 4561 3020,Isabella@gmail.com,9842994647,No,2,459,2
43,Part,D,M,1.11.2042,Raj,Qana,AB+,6065 4561 3020,Patrick@gmail.com,9842994648,yes,1,458,2
44,Barb,A,W,1.11.2043,Dev,Rana,O+,6066 4561 3020,Barbara@gmail.com,9842994649,No,3,457,1
45,Rayl,E,M,1.11.2044,Deva,Sana,A-,6067 4561 3020,Raymond@gmail.com,9842994650,yes,2,456,1
46,Derk,D,M,1.11.2045,Shankar,Tana,B-,6068 4561 3020,Derek@gmail.com,9842994651,No,1,455,2
47,Carl,C,W,1.11.2046,Raman,Uana,AB-,6069 4561 3020,Carol@gmail.com,9842994652,yes,3,454,2
48,Susa,B,W,1.11.2047,Samm,Vana,O-,6070 4561 3020,Susan@gmail.com,9842994653,No,2,453,2
49,Sara,A,W,1.11.2048,Brito,Wana,A+,6071 4561 3020,Sarah@gmail.com,9842994654,yes,1,452,1
,Hery,A,M,1.11.2049,Kalaian,Xana,B+,6072 4561 3020,Hemry@gmail.com,9842994655,No,1,451,1
